M65-A;17;Gabor Molnar;HSE;SVK;57:03;+37:46
M65-A;18;Petr Beranek;TJ Stadion Novy Bor;SVK;62:08;+42:51
M70-A;1;Jaromír Buriánek;OK Sparta Praha;SVK;25:28
M70-A;2;Miroslav Sikora;OOB TJ Baník Ostrava;SVK;25:37;+0:09
M70-A;3;Oldřich Vlach;OOB TJ Baník Ostrava;SVK;26:12;+0:44
M70-A;4;Antonín   Peška;KČT OB Holešov;SVK;26:35;+1:07
M70-A;5;Vidimantas Bumelis;OK Labirintas;SVK;27:52;+2:24
M70-A;6;Béla Komár;HER;SVK;28:30;+3:02
M70-A;7;Ľudovít Šmelík;TJ Rapid Bratislava;SVK;29:29;+4:01
M70-A;8;Miloš Novák;OK Sparta Praha;SVK;31:39;+6:11
M70-A;9;Ivan Lux;B-Aces;SVK;34:37;+9:09
M70-A;10;Pavel Kříž;SKP Unitop Žďár nad Sázavou;SVK;35:24;+9:56
M70-A;11;Péter Gombkötő Dr;Tipo Orienteering Club;SVK;37:26;+11:58
M70-A;12;Stanislav Nosál;Lokomotíva Beroun;SVK;44:10;+18:42
M70-A;13;Miloš Fiala;KSH;SVK;45:13;+19:45
M70-A;14;Dezider Baran;TJ Slávia Farmaceut Bratislava;SVK;50:03;+24:35
M75-A;1;Gytis Juška;Gervės;SVK;22:38
M75-A;2;Jaroslav Havlík;SC Jičín;SVK;26:13;+3:35
M75-A;3;Alois Láznička;SKOB Zlin;CZE;27:25;+4:47
M75-A;4;Zdeněk Úlehla;OK JISKRA NOVY BOR;SVK;33:55;+11:17
M75-A;5;Karel Beneš;OB Havířov;SVK;39:19;+16:41
M75-A;6;Milan Meriač;Klub OB Martin;SVK;48:46;+26:08
M75-A;7;František Novotný;OOB TJ Tatran Jablonec nad Nisou;SVK;64:38;+42:00
W35-A;1;Martina Bialeková;TJ Slávia Ekonóm UMB Banská Bystrica;SVK;29:38
W35-A;2;Borbála Józsa;Kalocsai SE;CZE;30:22;+0:44
W35-A;3;Daniela Ondovčíková;Klub OB Sokol Pezinok;SVK;34:05;+4:27
W35-A;4;Alena Bukovacová;TJ Slávia Farmaceut Bratislava;SVK;36:20;+6:42
W35-A;Marta Trojecka;OK! Sport;SVK;MP
W35-B;1;Lenka Vítková;OK Jihlava;SVK;37:44
W35-B;2;Katalin Bartók;Kalocsai SE;SVK;39:03;+1:19
W35-B;3;Michaela Zedníčková;Klub OB Sokol Pezinok;SVK;47:41;+9:57
W40-A;1;Renata Barcikova;Orientacni Beh Opava;SVK;29:12
W40-A;2;Lucie Vlastníková;OK Jilemnice;SVK;31:13;+2:01
W40-A;3;Monika Urbanová;Športový klub Sandberg;SVK;38:27;+9:15
W40-A;4;Ágnes Gábor;Kalocsai SE;SVK;38:28;+9:16
W40-A;5;Katarína Schenková;TJ Rapid Bratislava;SVK;38:57;+9:45
W40-A;6;Erika Vávrová;TJ Rapid Bratislava;SVK;40:04;+10:52
W40-A;7;Romana Ježková;OK Jilemnice;SVK;40:43;+11:31
W40-A;8;Anikó Rostás;Kalocsai SE;SVK;43:28;+14:16
W40-A;9;Kristína Komanová;TJ Slávia Farmaceut Bratislava;SVK;47:33;+18:21
W40-A;10;Bettina Házy- Csuka;Kalocsai SE;SVK;49:00;+19:48
W40-A;11;Barbora Vorlíčková;Športový klub Sandberg;SVK;49:49;+20:37
W40-A;12;Irena Waldhauserová;OK JISKRA NOVY BOR;SVK;50:51;+21:39
W40-A;13;Petra Kotuliaková;TJ Slávia Farmaceut Bratislava;SVK;51:43;+22:31
W40-A;14;Dagmar Miklušová;TJ Rapid Bratislava;SVK;53:40;+24:28
W40-A;15;Katarína Kováčová;ŠK VAZKA Bratislava;SVK;61:11;+31:59
W40-A;16;Oľga Lago;ŠK VAZKA Bratislava;SVK;66:00;+36:48
W40-A;17;Iveta Hýblová;SK Prostějov;SVK;81:53;+52:41
W45-A;1;Jekaterina Zelenin;USG Chemnitz;SVK;29:57
W45-A;2;Tatyana Yavdoschuk;O-club Kyiv;SVK;30:50;+0:53
W45-A;3;Šárka Kašparová;Orientacni Beh Opava;SVK;31:30;+1:33
W45-A;4;Zuzana Poštulková;Slávia Žilinská univerzita Žilina;SVK;34:06;+4:09
W45-A;5;Táňa Časnochová;ŠK HADVEO Banská Bystrica;SVK;34:49;+4:52
W45-A;6;Hana Šmelíková;TJ Slávia Farmaceut Bratislava;SVK;35:51;+5:54
